"Disease"	"Lipid"	"Lipid_pubchem_cid"	"Citations"	"p-value"	"FDR"
"Disease Models, Animal"	"Palmitic acid"	985	"1487962, 1930297, 3561895, 4019919, 6552978, 7869397, 8277829, 8611661, 9075804, 9847296, 10871577, 11248709, 11341370, 11442148, 11480310, 11521131, 11591530, 12401712, 12492629, 12533957, 14669254, 15655711, 15691620, 15719408, 15812545, 16006137, 16099631, 16132689, 16223979, 16242685, 16260631, 16284748, 16327015, 16427803, 16830641, 16859646, 16945492, 17303254, 17303775, 17440174, 17478729, 17496214, 17556663, 17638705, 18021406, 18079266, 18356826, 18456722, 18625067, 18952713, 18957123, 18979104, 19028723, 19136651, 19218500, 19222903, 19342603, 19521344, 19526849, 19687618, 19826179, 20030821, 20053658, 20093624, 20195647, 20195903, 20200357, 20224724, 20347174, 20370733, 20436215, 20463885, 20509914, 20570823, 20625397, 20676935, 20685204, 20724127, 20729402, 20856679, 20876715, 20958969, 20963507, 21041527, 21179212, 21183973, 21203469, 21203506, 21275906, 21288451, 21347624, 21347999, 21442160, 21447485, 21465509, 21488066, 21493626, 21499426, 21514935, 21532323, 21569358, 21575650, 21664458, 21685264, 21689431, 21715262, 21718771, 21723952, 21754921, 21771651, 21796379, 21835931, 22056924, 22065734, 22093454, 22101973, 22160545, 22188440, 22366681, 22412863, 22414817, 22429826, 22490613, 22629144, 22658902, 22662181, 22679004, 22753171, 22770993, 22810813, 22842335, 22854889, 22982985, 23050040, 23547761, 23840461, 23850521, 24211138, 24351808, 24352501, 24608675, 24881592, 25003952, 25080922, 25194136, 25208498, 25329748, 25389366, 25503900, 25603556, 25714483, 25766252, 25921577, 26073655, 26167075, 26201023, 26261526, 26317511, 26419929, 26539645, 26668503, 26672616, 26758875, 26833058, 26937141, 26941017, 27033451, 27090939, 27133527, 27502608, 27838091, 27907038, 27974793, 28073184, 28302626, 28418007, 28439717, 28831172, 29070572, 29233968, 29290651, 29311680, 29352206, 29531463, 29569260, 29753610, 29772372, 29798686, 30031229, 30036865, 30230367, 30324697, 30496979, 30523046, 30560565, 30619336, 30804206, 30901967, 30909920, 31083413, 31558861, 31614951, 31647994, 31719515, 31802182"	6.97048496285859e-08	1.2211400251839e-07
"Adrenoleukodystrophy"	"Palmitic acid"	985	"2049396, 2141053, 2705786, 3561895, 8399326, 8486724, 8618694, 11438993, 12975357, 13129591"	2.03955988579558e-07	3.54200909331184e-07
"Zellweger Syndrome"	"Palmitic acid"	985	"2049396, 2141053, 8399326, 8486724, 8618694, 12767923, 13129591"	4.86993340384875e-07	8.38980352845084e-07
"Starvation"	"Palmitic acid"	985	"2988522, 3069535, 3512958, 3522212, 3730405, 3760192, 3790065, 4051503, 4074324, 6383345, 6615480, 14139561, 14168048, 14280474, 14328561, 17880706, 23925409"	1.16077990309566e-06	1.98193437546793e-06
"Retinitis Pigmentosa"	"Palmitic acid"	985	"12037013, 13958278, 14045591, 15884421, 17113430, 17531222, 18271780, 19085838, 20385935"	4.0545339351377e-06	6.82373930222742e-06
"Diabetic Cardiomyopathies"	"Palmitic acid"	985	"22065734, 22780108, 27871808, 29277329, 29318158, 30384366"	2.45593611674234e-05	4.05313182656272e-05
"Atherosclerosis"	"Palmitic acid"	985	"14112225, 16123319, 16308209, 16555946, 17240191, 17584103, 18253466, 18812595, 19041765, 19142226, 19782984, 20030821, 20068143, 20102700, 20136442, 20182627, 20200316, 20361178, 20425241, 20633299, 20644648, 20659041, 20730840, 21247503, 21506380, 21673902, 21711241, 22016761, 22087726, 22254019, 22474416, 22619561, 22640955, 22662181, 22750100, 23531513, 23659066, 23879935, 25550806, 26055507, 26138903, 26941017, 27139506, 27142741, 27450429, 27502608, 27907038, 28934649, 29653462, 30129212, 30587074"	0.000130388926401379	0.000210467076115341
"Fish Diseases"	"Palmitic acid"	985	"8925907, 17880706, 19945456, 21314902, 22100430, 22336774, 24837326, 31247319, 31676430"	0.00015556044538232	0.000250423547208063
"Hypertrophy"	"Palmitic acid"	985	"15691620, 15728586, 16123319, 16859699, 17906100, 17982475, 18456722, 19625611, 19934003, 21330637, 21921143, 22028857, 27057269, 30361530, 30804206, 31155812"	0.000187515800316096	0.000300997876323626
"Metabolic Syndrome"	"Palmitic acid"	985	"15015142, 16123319, 16179281, 16895544, 17299809, 17992261, 18073214, 18335029, 18612464, 18771663, 19136651, 19192424, 19366864, 19721393, 19766268, 20068143, 20426802, 20455448, 20566663, 20693347, 20834068, 20920255, 22170727, 22254019, 22629144, 22700542, 22701716, 22903729, 22923652, 23659066, 24352501, 24451382, 24456163, 25046734, 25503900, 26192035, 26254104, 26512756, 27753178, 28418007, 29546476, 29804539, 30968170, 31647994, 31740387, 31771123"	0.000199133809687404	0.000319288378791088
"Refsum Disease"	"Palmitic acid"	985	"13129591, 13958278, 14045591, 14320689, 14320690"	0.000208167186791248	0.0003334913698711
"Hypertriglyceridemia"	"Palmitic acid"	985	"2294372, 2713383, 8280181, 9799807, 11334421, 12746213, 12956411, 14252339, 18812595, 20653972, 21704120, 22389298, 22662181, 23959725, 26873426, 27592456, 29674246"	0.000340838953283128	0.000541865879774107
"Pancreatic Neoplasms"	"Palmitic acid"	985	"2828356, 11484916, 11891015, 12108788, 12656670, 12663471, 15297438, 15314288, 15599384, 15654794, 15677504, 15685231, 15915827, 16094531, 17991720, 18772242, 20022501, 20488947, 21716694, 22810813, 24896641, 27630308, 28088520, 29960115"	0.000435776836093627	0.000689960352575024
"Diabetes Mellitus, Type 1"	"Palmitic acid"	985	"1547916, 1634190, 1862684, 1977322, 1991802, 2338079, 2573554, 3119255, 8279535, 9177227, 9227461, 9794112, 10881590, 12397026, 15536590, 15805546, 16718465, 18599524, 18678617, 19073772, 19336676, 20224724, 20943749, 21647409, 21716694, 21799917, 21929596, 21977009, 23600826, 24589042, 25733475"	0.000436137025869577	0.000690511793379583
"Overweight"	"Palmitic acid"	985	"17149589, 17264178, 17992261, 18175746, 18771663, 18957534, 20619626, 21252253, 21270237, 21397284, 22059644, 22738052, 24895285, 25527748, 26512756, 29258511, 31013145"	0.000462943618232561	0.000732266050843386
"Fatty Liver, Alcoholic"	"Palmitic acid"	985	"3093134, 8672174, 15578517, 19742171, 31834842"	0.000665437895972233	0.00104681670703458
"Neuroaxonal Dystrophies"	"Palmitic acid"	985	"20886109, 22038515"	0.000712916832015527	0.00112042264212672
"Pelizaeus-Merzbacher Disease"	"Palmitic acid"	985	"21682894, 22008564"	0.000712916832015527	0.00112042264212672
"Diabetic Angiopathies"	"Palmitic acid"	985	"1476176, 1506379, 9642153, 16369227, 17639306, 18420491, 18957534, 19252892, 19364331, 20191079, 20200316, 22065734, 22474416, 26941017, 27789474, 29923306, 29990837"	0.000837218584535397	0.00131181910037568
"Glycogen Storage Disease Type II"	"Palmitic acid"	985	"21179212, 22981821"	0.000853430995610245	0.00133682262662848
"Mitochondrial Diseases"	"Palmitic acid"	985	"15166256, 19273755, 20195903, 20490924, 21685264, 22174907, 25620701, 30362548"	0.00110488131677646	0.00172334839889804
"Liver Neoplasms"	"Palmitic acid"	985	"2169202, 2843552, 3005308, 7586583, 7595067, 8573155, 9254070, 9770727, 9858936, 11239819, 14323945, 14347561, 14563903, 14726639, 15298768, 15450210, 15663230, 16515689, 17072951, 17498300, 17615559, 17658692, 17707340, 17906635, 17925029, 18096630, 18299183, 18713797, 18767022, 19052637, 19083476, 19222902, 19502591, 19545746, 20925133, 21959296, 22221411, 22380754, 22857151, 24720787, 24863391, 25048947, 25512910, 26316333, 28073184, 28278289, 28347804, 28495427, 29169220, 30585550, 30794626, 31357761"	0.00113456990510726	0.0017689333741958
"Hypoxia"	"Palmitic acid"	985	"2129245, 2244747, 2316683, 4017196, 6716492, 7299849, 8648901, 9435660, 12119540, 12663485, 12730126, 14289492, 14631166, 16391202, 16412226, 16753149, 16990498, 17244890, 19083476, 19503617, 19685177, 20114010, 20724127, 23539326, 24317474, 25290061, 25654228, 27591086"	0.00185649512428273	0.00286733813377704
"Postmortem Changes"	"Palmitic acid"	985	"16182945, 17316224, 18717751, 19904605, 20384931, 22572570"	0.00219464903362382	0.00337785781633237
"Hyperlipidemias"	"Palmitic acid"	985	"9683394, 10030391, 10419117, 11357474, 11865283, 12056593, 12373575, 14106510, 14142180, 14157955, 14166580, 14186669, 14252339, 14262109, 14325504, 14335333, 14749282, 16132689, 16756155, 19370936, 19442321, 19893100, 19960012, 20506110, 20647045, 20659041, 20673726, 21108938, 21197586, 21711508, 21821004, 22030225, 22331686, 22718777, 22966071, 22982676, 24041487, 24734256, 27087279, 27457805, 27511058, 28351695, 29111387, 29128402, 29130531, 29301208, 30213948"	0.00278967043733226	0.00427037091417433
"Cardiomyopathies"	"Palmitic acid"	985	"1884495, 10208759, 11768585, 14600074, 15536590, 15902556, 17639306, 19069443, 19364331, 19624828, 19737925, 22178085, 23585895, 28045026, 30031229, 30291912"	0.00311483460211092	0.0047562860051607
"Diffuse Cerebral Sclerosis of Schilder"	"Palmitic acid"	985	"2141053, 2705786, 3561895, 9427153"	0.0038026714598682	0.00578076831671522
"Multiple Acyl Coenzyme A Dehydrogenase Deficiency"	"Palmitic acid"	985	"20392676, 21110228"	0.00437718294544724	0.00663722131509458
"Arthritis, Gouty"	"Palmitic acid"	985	"25589513, 29352206, 30728075"	0.00447304313554348	0.00677897869245913
"Meconium Aspiration Syndrome"	"Palmitic acid"	985	"12640370, 17095334"	0.00538565069005618	0.008127266477699
"Hernias, Diaphragmatic, Congenital"	"Palmitic acid"	985	"12640370, 15181183, 19582395"	0.00582943480975363	0.00878331656853973
"Hyperphagia"	"Palmitic acid"	985	"2690646, 2999014, 9415822, 25016520"	0.00714466413840261	0.0107195583273441
"Focal Dermal Hypoplasia"	"Palmitic acid"	985	"22412863"	0.00726756327782629	0.0109003729477911
"Retinal Drusen"	"Palmitic acid"	985	"16794439, 20428236"	0.00768813348922799	0.0115162076108493
"Hernia, Diaphragmatic"	"Palmitic acid"	985	"12640370, 15181183, 19582395"	0.00798310336000387	0.0119488192779846
"Liposarcoma"	"Palmitic acid"	985	"18259941, 19116881, 20372807"	0.00798310336000387	0.0119488192779846
"Herpes Simplex"	"Palmitic acid"	985	"3029270, 6517562, 15368273, 16817765, 22374449, 22548113"	0.00857401002505346	0.0128058737475119
"Cell Transformation, Viral"	"Palmitic acid"	985	"3022792, 3030822, 3099391, 3771557, 3844337, 6087550, 6298640, 6857998"	0.00869168075441816	0.0129786365831001
"Reye Syndrome"	"Palmitic acid"	985	"1469746, 8611661, 12507404"	0.00879150937845792	0.0131233813288238
"Bordetella Infections"	"Palmitic acid"	985	"12694617, 21452385"	0.00942762778423871	0.0140481672242426
"Vesico-Ureteral Reflux"	"Palmitic acid"	985	"9545481, 17618429"	0.01035682550231	0.0153982755045162
"Leprosy"	"Palmitic acid"	985	"1640777, 8304006, 10834063, 10834064, 11480310, 16830641"	0.011735190389115	0.017394532838896
"Diabetic Ketoacidosis"	"Palmitic acid"	985	"6409696, 6412033, 6809734, 6809735, 14223837, 20028938"	0.0142900414160043	0.0210667232030484
"Prediabetic State"	"Palmitic acid"	985	"9032096, 9482914, 20035285, 21266672, 24589042, 30362548"	0.0146495876555368	0.0215820805354574
"Hypertrophy, Left Ventricular"	"Palmitic acid"	985	"7869397, 11521131, 11922894, 16920812, 18278440, 19028723, 19826179, 20819225, 22408021"	0.0151502147949173	0.0222979956109137
"Weight Loss"	"Palmitic acid"	985	"10910006, 11104593, 14596465, 16697719, 17784905, 18271691, 18612464, 20299470, 20432169, 20590733, 20619626, 22170727, 22445512, 22738052, 27732859, 28831968, 28933767, 29546476, 31613643"	0.0155859348373234	0.0229234782056521
"Lipodystrophy"	"Palmitic acid"	985	"9645022, 12110539, 12200758, 26539645"	0.0177212460265248	0.0259791222605796
"Obesity, Metabolically Benign"	"Palmitic acid"	985	"25714483"	0.0180700280015952	0.0264745823885476
"Diabetes, Gestational"	"Palmitic acid"	985	"18852337, 20805277, 22144985, 22469619, 24577432"	0.018325525668348	0.02684025569457
"Leukodystrophy, Globoid Cell"	"Palmitic acid"	985	"2465381, 25208498"	0.0185210520998236	0.0271193519327452
"Leprosy, Lepromatous"	"Palmitic acid"	985	"7968182, 8141581, 21909445"	0.0188334529303097	0.0275708048778935
"Lipodystrophy, Familial Partial"	"Palmitic acid"	985	"18713822"	0.0216446730878405	0.0315639200299252
"Fatigue Syndrome, Chronic"	"Palmitic acid"	985	"14744043, 16380690, 22614823, 29968805"	0.0233331109600689	0.0339506532520973
"alpha-Mannosidosis"	"Palmitic acid"	985	"21738475"	0.0252063092403477	0.0365873066272889
"Usher Syndromes"	"Palmitic acid"	985	"21493626"	0.0252063092403477	0.0365873066272889
"Metabolic Diseases"	"Palmitic acid"	985	"12084849, 14045591, 18678612, 20625397, 21816445, 21816784, 21841783, 22329651, 31121128"	0.0267232281325286	0.0387312737995571
"Holoprosencephaly"	"Palmitic acid"	985	"19603532, 27647915"	0.0286204667962128	0.0413888256404669
"Togaviridae Infections"	"Palmitic acid"	985	"6094180"	0.0322907438790739	0.0464690943939511
"Lipodystrophy, Congenital Generalized"	"Palmitic acid"	985	"21300801"	0.0322907438790739	0.0464690943939511
"Hyperlipoproteinemia Type I"	"Palmitic acid"	985	"14157955, 22438229"	0.0339306163901464	0.0486871260144335
"Syphilis"	"Stearic acid"	5281	"2646207, 4012173, 4012176, 13026897, 13028788, 13065616, 13180954, 13182589, 13183696, 13227620, 13264746, 13264747, 13264748, 13292317, 13312647, 13404472, 14314670, 14782824, 14788004, 14856407, 14878092, 14924076, 15393645, 15393646, 15412384, 15419385, 15440959"	6.00277109062916e-37	1.4420141848681e-36
"Fatty Liver"	"Stearic acid"	5281	"10068949, 10659963, 14151129, 14173329, 14300114, 14302120, 17470478, 17626006, 18054317, 18812595, 18952834, 19651814, 19666474, 20206402, 20509914, 20600015, 20628024, 20706589, 22396206, 22439844, 22968990, 24863413"	7.16955881270214e-14	1.38207006728357e-13
"Insulin Resistance"	"Stearic acid"	5281	"12351433, 12606504, 14592453, 16781673, 16895544, 17906635, 18055661, 18633101, 18957619, 19252892, 19478146, 19581421, 19651814, 19664246, 19727392, 19780047, 20032470, 20150186, 20607591, 21054880, 21406612, 21741058, 21843327, 22396206, 22966071, 23084639, 26733041, 29546476, 30126103, 30228616"	5.51968413146118e-10	1.00467011070221e-09
"Yaws"	"Stearic acid"	5281	"4012172, 4012173, 4012176, 13404472, 14838448"	1.3896928928417e-09	2.51113991650157e-09
"Pneumoconiosis"	"Stearic acid"	5281	"13201750, 13448122, 14072616, 14072617"	2.12457193873717e-07	3.68847393842453e-07
"Thrombosis"	"Stearic acid"	5281	"1414985, 7977149, 7977151, 10419148, 11305631, 14058613, 14119273, 14158062, 14254833, 16317124, 16477807, 18491675, 26400022"	1.65407123574248e-06	2.81278177427936e-06
"Leukodystrophy, Metachromatic"	"Stearic acid"	5281	"1350885, 6117597, 16623713"	2.54931231874546e-06	4.31606589389258e-06
"Prosthesis Failure"	"Stearic acid"	5281	"11866160, 15127395, 22105569, 22113735, 23015562"	4.08265467570478e-06	6.87001694045474e-06
"Obesity"	"Stearic acid"	5281	"11832351, 14212750, 17127673, 17355638, 17416903, 17906635, 17936811, 18055661, 18633101, 18718999, 18982377, 19252892, 19727392, 20628024, 20706589, 21170321, 21257748, 21569358, 21573029, 22300160, 22396206, 22701716, 22928362, 23880231, 24286356, 26879142, 27344992, 28007782, 28420500, 29424439, 29626089, 30228616"	9.3607098020896e-06	1.56233390130717e-05
"Lead Poisoning"	"Stearic acid"	5281	"2335713, 11926510, 13149301, 14159390, 14342211, 15662640"	9.69211846666029e-06	1.61712970478763e-05
"Treponemal Infections"	"Stearic acid"	5281	"4012173, 4012176"	9.25807560628501e-05	0.00015022292016731
"Inflammation"	"Stearic acid"	5281	"14355526, 16277693, 17191766, 17355638, 19215923, 19478146, 19917107, 19926177, 19934003, 20200316, 20852092, 21112343, 21257748, 21422740, 21573029, 21829457, 22209225, 22396206, 22556332, 22701716, 23880231, 25280420, 25652309, 26879142, 27530293, 28287161, 28526351, 28892713, 29626089, 30228616, 31179489"	0.000101216030298126	0.000164029990546193
"Zellweger Syndrome"	"Stearic acid"	5281	"1700192, 1880537, 8441343"	0.000144075737798896	0.000232199178477537
"Insulinoma"	"Stearic acid"	5281	"12663471, 15314288, 16644178, 18395405"	0.000222041854998054	0.00035538765005165
"Heavy Metal Poisoning"	"Stearic acid"	5281	"13523087, 14072616"	0.000279481060833722	0.000445570652985719
"Hemolysis"	"Stearic acid"	5281	"6324464, 12618020, 12741794, 14165549, 14322324, 14829307, 18446472, 22451248, 30684574"	0.000318379224433646	0.000506629127680696
"Weight Gain"	"Stearic acid"	5281	"2124952, 8355579, 10659963, 11697763, 12421851, 15772384, 21406612, 22045025, 24286356, 24832758, 30126103"	0.000327414032531565	0.000520823215144069
"Flatulence"	"Stearic acid"	5281	"16762076, 19922649"	0.00056475899445977	0.000891054899865355
"Choline Deficiency"	"Stearic acid"	5281	"14302120, 14345885, 20509914"	0.000589813004792852	0.000929835379426265
"Malignant Hyperthermia"	"Stearic acid"	5281	"1943469, 2125224"	0.00101355495153311	0.00158296481136998
"Irritable Bowel Syndrome"	"Stearic acid"	5281	"16762076, 20849659, 29968805"	0.00169989738120923	0.00262975909043066
"Adrenoleukodystrophy"	"Stearic acid"	5281	"1700192, 1880537, 8072429"	0.00174943672143518	0.00270488975246548
"Liver Neoplasms, Experimental"	"Stearic acid"	5281	"1503901, 3689663, 7654247, 8166257, 9233686, 22149684, 31546448"	0.0018320422960839	0.00283008912669018
"Colorectal Neoplasms"	"Stearic acid"	5281	"2124952, 2242696, 21945913, 22238509, 22722903, 24025321, 29462928, 31728459"	0.00208605941449968	0.00321398991209774
"Ciliopathies"	"Stearic acid"	5281	"30127002"	0.00312324772712957	0.00476882017713224
"Diabetes Mellitus, Experimental"	"Stearic acid"	5281	"2776432, 3718739, 4047532, 6671113, 14114873, 14181293, 15298769, 16412622, 21266672, 22087215, 22848162, 24670092, 26253378"	0.00345834217286304	0.00526795471008283
"Gallstones"	"Stearic acid"	5281	"12947655, 17690037, 21809418, 26976784"	0.00380656561246923	0.00578662936262872
"Musculoskeletal Diseases"	"Stearic acid"	5281	"14970856, 17958901"	0.00430001769315669	0.00652193231545471
"Melanoma, Experimental"	"Stearic acid"	5281	"2371287, 3818567, 8041229, 22515073, 25540903"	0.00458677571982381	0.00694779061372097
"Diabetes Mellitus, Type 2"	"Stearic acid"	5281	"9405898, 16096283, 16249438, 18633101, 18982377, 19252892, 19714868, 20200316, 20532041, 20959532, 21170321, 21257748, 21266672, 23362303, 24384240, 25527759, 27344992, 30275386, 31052447"	0.00606455512792641	0.00913139176894836
"Non-alcoholic Fatty Liver Disease"	"Stearic acid"	5281	"20600015, 22439844, 22968990, 26739624, 30380656"	0.0074095888249006	0.0111085104013089
"Hypoglossal Nerve Injuries"	"Stearic acid"	5281	"15099403"	0.00778986696085826	0.0116651911471978
"Foreign Bodies"	"Stearic acid"	5281	"3036675, 12537618"	0.0080358539412004	0.0120254382135855
"Lipid Metabolism Disorders"	"Stearic acid"	5281	"17127673, 22881371"	0.00849508345363565	0.0126909917957277
"Occupational Diseases"	"Stearic acid"	5281	"9301689, 11926510, 14342211, 15662640"	0.0106185311618929	0.0157792200286524
"Carcinoma, Hepatocellular"	"Stearic acid"	5281	"7845382, 9597754, 14669970, 15277519, 15375792, 15763545, 16595961, 17906635, 18767022, 21770405, 30110551"	0.0122342093889207	0.018113277996524
"Anemia, Dyserythropoietic, Congenital"	"Stearic acid"	5281	"6849970"	0.0132066953303829	0.0195076942683958
"Overweight"	"Stearic acid"	5281	"17299581, 22928362, 26615716, 29258511, 30126103"	0.0145383634993771	0.0214245731893379
"Decalcification, Pathologic"	"Stearic acid"	5281	"11883480"	0.0155191449543292	0.022827394351056
"Body Weight"	"Stearic acid"	5281	"1508937, 6704963, 7320503, 7666256, 8355579, 8736816, 9187629, 9489745, 10827016, 11334555, 11595653, 11928954, 12799315, 14276882, 14584598, 15469642, 16412622, 16638661, 17267170, 17896587, 17906635, 18059405, 20234760, 21569358, 22658902, 22679004, 22975500, 23800210, 24342689, 25222131, 25529423, 25727313, 31560748"	0.0167109774871111	0.0245345175940505
"Sandhoff Disease"	"Stearic acid"	5281	"6671968"	0.0170577713481785	0.0250296057013158
"Tuberculosis"	"Stearic acid"	5281	"8431934, 9472140, 14804983, 21021178, 21092312, 24374224"	0.0171084948776745	0.0251027907086885
"Steatitis"	"Stearic acid"	5281	"30856048"	0.0178261839440239	0.0261297396191928
"Abdominal Pain"	"Stearic acid"	5281	"15662640, 16762076, 19922649"	0.0179172872698816	0.0262612755314623
"Neoplasms"	"Stearic acid"	5281	"3103770, 3568009, 3926106, 4007173, 9433776, 14203246, 14970856, 19664246, 20220227, 21422740, 21465641, 21638135, 22119655, 22457791, 22827551, 22951455, 23510855, 25751168, 26237540, 26257133, 27918445"	0.017923561696478	0.026269686402065
"Gallbladder Neoplasms"	"Stearic acid"	5281	"7745974, 9542515"	0.0179861008224599	0.0263563194581352
"Eczema, Dyshidrotic"	"Stearic acid"	5281	"7856518"	0.0185939967629927	0.0272249268215472
"Ulcer"	"Stearic acid"	5281	"10912018, 13217484, 25746264"	0.0190082239299725	0.0278207116728659
"Pseudoxanthoma Elasticum"	"Stearic acid"	5281	"21496949"	0.0193612102725084	0.0283256959509561
"Hypoxia, Brain"	"Stearic acid"	5281	"16448636, 18070347"	0.0219040749599839	0.0319332889311472
"Aberrant Crypt Foci"	"Stearic acid"	5281	"27367460"	0.0224240805518445	0.0326649567074954
"Meconium Aspiration Syndrome"	"Stearic acid"	5281	"17578470"	0.0231883045127681	0.0337438051102904
"Trigeminal Nerve Diseases"	"Stearic acid"	5281	"16836817"	0.0247149633619238	0.0358989652620373
"Salmonella Infections"	"Stearic acid"	5281	"8041229, 13968394"	0.0259887386137295	0.0376903574360534
"Syphilis, Latent"	"Stearic acid"	5281	"13312647"	0.0262392398782562	0.0380459824507318
"Sjogren-Larsson Syndrome"	"Stearic acid"	5281	"10543638"	0.0270004859217943	0.0391215591381243
"Trauma, Nervous System"	"Stearic acid"	5281	"15099403"	0.0270004859217943	0.0391215591381243
"Extensively Drug-Resistant Tuberculosis"	"Stearic acid"	5281	"19578428"	0.0285211958968152	0.0412484146257514
"Focal Infection, Dental"	"Stearic acid"	5281	"12618970"	0.0323125967659028	0.0464992008837294
"Pancreatic Neoplasms"	"Stearic acid"	5281	"12663471, 15314288, 15599384, 15685231, 21371545, 25652350"	0.0330264944598968	0.0474724631854739
"Bone Demineralization, Pathologic"	"Stearic acid"	5281	"11883480"	0.0330691022218255	0.047530933473749
"Hyperlipidemias"	"Stearic acid"	5281	"12056593, 16214329, 16249438, 16756155, 19442321, 22331686, 22966071, 23482314, 24863413, 26969487, 27810472, 29301208"	0.0334351234476504	0.048039110313935
"Onychomycosis"	"Undecylenic acid"	5634	"11918606, 19825699, 30537336"	6.49539177845355e-08	1.13896041670719e-07
"Dermatitis, Allergic Contact"	"Undecylenic acid"	5634	"11918606, 18343554, 30537336"	1.48929772919342e-06	2.53519997877013e-06
"Foot Dermatoses"	"Undecylenic acid"	5634	"19825699, 30537336"	3.3326200592302e-05	5.47886602131863e-05
"Herpes Simplex"	"Undecylenic acid"	5634	"6517562, 11896747"	6.22833489219915e-05	0.000101573800834964
"Psoriasis"	"Undecylenic acid"	5634	"18126072, 18132527, 18140580"	0.000109803545391107	0.000177739052635142
"Dermatomycoses"	"Undecylenic acid"	5634	"11896747, 20287973"	0.000272027216894996	0.000433912981821869
"Candidiasis"	"Undecylenic acid"	5634	"11896747, 20283687"	0.00278419321402571	0.00426218844986017
"Vulvovaginitis"	"Undecylenic acid"	5634	"20283687"	0.00279940330039474	0.00428467686232743
"Plaque, Amyloid"	"Undecylenic acid"	5634	"22333440"	0.00640828476174471	0.00963787333722553
"Nail Diseases"	"Undecylenic acid"	5634	"30537336"	0.00844780642023224	0.0126236803793023
"Candidiasis, Vulvovaginal"	"Undecylenic acid"	5634	"20283687"	0.00873541831303482	0.0130417340410457
"Stomatitis"	"Undecylenic acid"	5634	"11896747"	0.0120850397463804	0.0178976641243653
"Rhinitis"	"Undecylenic acid"	5634	"17217321"	0.0138750537411999	0.0204676429072271
"Tinea"	"Undecylenic acid"	5634	"20287973"	0.0170655443097381	0.0250408702240758
"Sinusitis"	"Undecylenic acid"	5634	"17217321"	0.0194875508581421	0.0285059422618931
"Opportunistic Infections"	"Undecylenic acid"	5634	"26776224"	0.0229917555852576	0.0334657681568524
"Melanoma, Experimental"	"Undecylenic acid"	5634	"17418566"	0.0322391907196954	0.0463971832160742
"Olfaction Disorders"	"gamma-undecalactone"	7714	"12174611"	0.000340721677510536	0.000541691248579386
"Dermatitis, Phototoxic"	"16-Hexadecanolide"	7984	"21802479"	0.000297203386960487	0.000473310846444392
"Eye Injuries"	"16-Hexadecanolide"	7984	"21802479"	0.000567789186548096	0.000895738882564817
"Fibrosarcoma"	"16-Hexadecanolide"	7984	"17914582"	0.0019612088841503	0.00302538744147204
"Dermatitis, Allergic Contact"	"16-Hexadecanolide"	7984	"21802479"	0.00219777632059304	0.00338254964046555
"Carcinoma, Ehrlich Tumor"	"16-Hexadecanolide"	7984	"17914582"	0.00323544485736083	0.00493443104848195
"Neoplasm Invasiveness"	"16-Hexadecanolide"	7984	"17914582"	0.0113323567214079	0.0168088415200332
"Adrenoleukodystrophy"	"Behenic acid"	8215	"3366206, 3529811, 4056832, 11522057, 18026827, 19269120, 19965514, 22189598, 23671276, 26642716"	3.96481413422771e-25	8.61996597709031e-25
"Diffuse Cerebral Sclerosis of Schilder"	"Behenic acid"	8215	"3366206, 3529811, 4056832"	1.8231400071934e-07	3.16909366608502e-07
"Diabetes Mellitus, Type 2"	"Behenic acid"	8215	"17878672, 21170321, 30275386, 30982858, 31052447"	0.00109523265515625	0.00170855753319064
"Weight Gain"	"Behenic acid"	8215	"8282277, 20653972, 28395825"	0.00185903471957355	0.00287122307668408
"Occupational Diseases"	"Behenic acid"	8215	"6338790, 6625397"	0.00206002185878053	0.00317444159019012
"Multiple Sclerosis, Chronic Progressive"	"Behenic acid"	8215	"19965514"	0.00497916778491536	0.00753043217432827
"Zellweger Syndrome"	"Behenic acid"	8215	"21387236"	0.00773486103654564	0.0115845659080134
"Refsum Disease"	"Behenic acid"	8215	"2452736"	0.00889612818244434	0.0132761266359428
"Hyperkinesis"	"Behenic acid"	8215	"18026827"	0.0104830716802421	0.0155824466452762
"Vasculitis, Leukocytoclastic, Cutaneous"	"Behenic acid"	8215	"6338790"	0.01115372067583	0.0165493518625819
"Learning Disabilities"	"Behenic acid"	8215	"18026827"	0.0169877737862022	0.0249297131549622
"Fatigue Syndrome, Chronic"	"Behenic acid"	8215	"29968805"	0.0179568296288667	0.0263159230720772
"Irritable Bowel Syndrome"	"Behenic acid"	8215	"29968805"	0.018017364512296	0.0264000367892933
"Salmonella Infections"	"Behenic acid"	8215	"28112240"	0.0193482067774362	0.0283067796119467
"Hearing Loss, Sudden"	"Behenic acid"	8215	"20336917"	0.0206169066007642	0.030103076055164
"Gastroesophageal Reflux"	"Behenic acid"	8215	"19408097"	0.0216427705912325	0.0315612427992382
"Ichthyosis"	"Behenic acid"	8215	"22882126"	0.0220045886519425	0.0320702204856395
"Brain Neoplasms"	"Behenic acid"	8215	"19014610, 21346275"	0.0272341434293007	0.039446228517981
"Protein-Energy Malnutrition"	"Behenic acid"	8215	"20128635"	0.0273561765727047	0.0396168871063606
"Purpura"	"Behenic acid"	8215	"6338790"	0.0278358094766228	0.0402888897786948
"Rosacea"	"Behenic acid"	8215	"21967555"	0.0332753399229674	0.0478159395029454
